timestamp,status,confidence,status_numeric
2025-09-27 19:10:02.149238,Distracted,0.9997500777244568,2.0
2025-09-27 19:10:02.645394,Distracted,0.9999997615814209,2.0
2025-09-27 19:10:02.785814,Distracted,0.9999995231628418,2.0
2025-09-27 19:10:02.927696,Distracted,0.9999996423721313,2.0
2025-09-27 19:10:03.066690,Distracted,0.9999994039535522,2.0
2025-09-27 19:10:03.204648,Distracted,0.9999996423721313,2.0
2025-09-27 19:10:03.606179,Distracted,0.9999996423721313,2.0
2025-09-27 19:10:03.752590,Distracted,0.9999996423721313,2.0
2025-09-27 19:10:03.884553,Attentive,1.0,3.0
2025-09-27 19:10:04.011833,Attentive,1.0,3.0
2025-09-27 19:10:04.159561,Attentive,1.0,3.0
2025-09-27 19:10:04.299191,Attentive,1.0,3.0
2025-09-27 19:10:04.679512,Distracted,0.9999995231628418,2.0
2025-09-27 19:10:04.816775,Attentive,1.0,3.0
2025-09-27 19:10:04.945202,Attentive,1.0,3.0
2025-09-27 19:10:05.083372,Attentive,1.0,3.0
2025-09-27 19:10:05.221643,Attentive,1.0,3.0
2025-09-27 19:10:05.358654,Attentive,1.0,3.0
2025-09-27 19:10:05.703851,Attentive,1.0,3.0
2025-09-27 19:10:05.833986,Attentive,1.0,3.0
2025-09-27 19:10:05.976719,Attentive,1.0,3.0
2025-09-27 19:10:06.122641,Attentive,1.0,3.0
2025-09-27 19:10:06.255067,Attentive,1.0,3.0
2025-09-27 19:10:06.395386,Attentive,1.0,3.0
2025-09-27 19:10:06.769822,Attentive,1.0,3.0
2025-09-27 19:10:06.903552,Attentive,1.0,3.0
2025-09-27 19:10:07.039617,Attentive,1.0,3.0
2025-09-27 19:10:07.177446,Attentive,1.0,3.0
2025-09-27 19:10:07.313847,Attentive,1.0,3.0
2025-09-27 19:10:07.451802,Attentive,1.0,3.0
2025-09-27 19:10:07.798168,Attentive,1.0,3.0
2025-09-27 19:10:07.937222,Attentive,1.0,3.0
2025-09-27 19:10:08.074784,Distracted,0.9999992847442627,2.0
2025-09-27 19:10:08.213332,Attentive,1.0,3.0
2025-09-27 19:10:08.347478,Attentive,1.0,3.0
2025-09-27 19:10:08.489938,Attentive,1.0,3.0
2025-09-27 19:10:08.873721,Distracted,0.9999992847442627,2.0
2025-09-27 19:10:09.023091,Distracted,0.9999980926513672,2.0
2025-09-27 19:10:09.155647,Distracted,0.9999994039535522,2.0
2025-09-27 19:10:09.286217,Distracted,0.9999997615814209,2.0
2025-09-27 19:10:09.422942,Attentive,1.0,3.0
2025-09-27 19:10:09.554345,Attentive,1.0,3.0
2025-09-27 19:10:09.930077,Distracted,0.9999783039093018,2.0
2025-09-27 19:10:10.065472,Attentive,1.0,3.0
2025-09-27 19:10:10.177601,Attentive,1.0,3.0
2025-09-27 19:10:10.309108,Attentive,1.0,3.0
2025-09-27 19:10:10.446425,Attentive,1.0,3.0
2025-09-27 19:10:10.556799,Attentive,1.0,3.0
2025-09-27 19:10:10.925609,Attentive,1.0,3.0
2025-09-27 19:10:11.038390,Distracted,0.999997615814209,2.0
2025-09-27 19:10:11.168571,Attentive,1.0,3.0
2025-09-27 19:10:11.277924,Attentive,1.0,3.0
2025-09-27 19:10:11.409282,Attentive,1.0,3.0
